plane,human_error,mechanical,weather,criminal ,unknown,year_service
DHC-3 Otter,0.40,0.20,0.20,0.00,0.20,1953
Fokker F-27 Friendship 600,0.20,0.60,0.20,0.00,0.00,1958
Hawker Siddeley HS-748-216 Srs,0.50,0.50,0.00,0.00,0.00,1960
Antonov 24,0.40,0.23,0.17,0.03,0.17,1962
Boeing 727,0.56,0.00,0.33,0.11,0.00,1964
Douglas DC-9,1.00,0.00,0.00,0.00,0.00,1965
DHC-6 Twin Otter,0.38,0.10,0.31,0.00,0.21,1966
Tupolev 134A,0.50,0.00,0.25,0.25,0.00,1967
Boeing 737,0.57,0.12,0.19,0.05,0.07,1968
Yakovlev 40,0.67,0.00,0.33,0.00,0.00,1968
Boeing 747,0.50,0.25,0.00,0.13,0.12,1970
Let L-410UVP,0.33,0.38,0.05,0.00,0.24,1970
Airbus A300,0.80,0.00,0.00,0.20,0.00,1972
Swearingen SA226-TC Metro II,0.25,0.25,0.25,0.00,0.25,1972
Tupolev 154B,0.25,0.50,0.00,0.25,0.00,1972
Tupolev 154M,0.57,0.22,0.07,0.00,0.14,1972
Embraer 110P1 Bandeirante,0.44,0.33,0.23,0.00,0.00,1973
Beechcraft 200 Super King Air,0.00,0.25,0.25,0.25,0.25,1974
MD-82,0.60,0.00,0.20,0.20,0.00,1980
Yakovlev 42D,1.00,0.00,0.00,0.00,0.00,1980
Boeing 767,0.20,0.00,0.20,0.60,0.00,1982
British Aerospace 3201 Jetstream,0.67,0.00,0.33,0.00,0.00,1982
Dornier 228,0.25,0.12,0.38,0.00,0.25,1982
Harbin Yunshuji Y-12 II,0.50,0.50,0.00,0.00,0.00,1982
Airbus A310,0.86,0.00,0.14,0.00,0.00,1983
Beechcraft 1900C,0.00,0.33,0.67,0.00,0.00,1983
Beechcraft 1900D,1.00,0.00,0.00,0.00,0.00,1983
Boeing 757,0.60,0.00,0.00,0.40,0.00,1983
Saab 340B,0.75,0.25,0.00,0.00,0.00,1983
ATR-42,0.80,0.00,0.00,0.00,0.20,1985
Antonov 28,0.40,0.00,0.20,0.00,0.40,1986
Airbus A320,0.63,0.00,0.00,0.12,0.25,1988
Fokker 100,0.25,0.25,0.00,0.25,0.25,1988
ATR-72,0.50,0.00,0.33,0.00,0.17,1989
Canadair CL-600-2B19 Regional,0.33,0.17,0.50,0.00,0.00,1992
Boeing 777,0.33,0.00,0.00,0.33,0.34,1995
