breed,name,direction,license,original_image_credit,supercoloring_link
Border Collie,border-collie-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://pixabay.com/en/border-collie-herding-dog-canine-191776/,http://www.supercoloring.com/silhouettes/border-collie
Border Terrier,border-terrier-black-silhouette.png,right,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:Border_terrier_766_LM.jpg,http://www.supercoloring.com/silhouettes/border-terrier
Cairn Terrier,cairn-terrier-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:Cairn_Terrier_-_001.jpg,http://www.supercoloring.com/silhouettes/cairn-terrier
Welsh Springer Spaniel,welsh-springer-spaniel-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:Welsh_Springer_Spaniel_1.jpg,http://www.supercoloring.com/silhouettes/springer-spaniel
Cocker Spaniel,cocker-spaniel-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:American_Cocker_in_Tallinn_5.JPG,http://www.supercoloring.com/silhouettes/cocker-spaniel?tag=57353
Dachshund,dachshund-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:Short-haired-Dachshund.jpg,http://www.supercoloring.com/silhouettes/dachshund?tag=57353
Miniature Schnauzer,miniature-schnauzer-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:BlkStdSchnauzer1.jpg,http://www.supercoloring.com/silhouettes/schnauzer?tag=57353
Chihuahua,chihuahua-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:Standard_razza_chihuahua.jpg,http://www.supercoloring.com/silhouettes/chihuahua?tag=57353
Poodle,poodle-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,"http://commons.wikimedia.org/wiki/File:Poodle,_cropped.JPG",http://www.supercoloring.com/silhouettes/poodle?tag=57353
Labrador Retriever,labrador-retriever-black-silhouette.png,right,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:Perfect_Side_View_Of_Black_Labrador_North_East_England.JPG,http://www.supercoloring.com/silhouettes/black-labrador?tag=57353
Pomeranian,pomeranian-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:Pomeranian_Pair_2.JPG,http://www.supercoloring.com/silhouettes/pomeranian?tag=57353
Golden Retriever,golden-retriever-black-silhouette.png,right,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:Golden_Retriever_Dukedestiny01_drvd.jpg,http://www.supercoloring.com/silhouettes/golden-retriever?tag=57353
Pug,pug-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:Pug_in_Tallinn.JPG,http://www.supercoloring.com/silhouettes/pug?tag=57353
Boston Terrier,boston-terrier-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:Boston-terrier-carlos-de.JPG,http://www.supercoloring.com/silhouettes/boston-terrier?tag=57353
Doberman Pinscher,doberman-pinscher-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:European_Dobermann.jpg,http://www.supercoloring.com/silhouettes/doberman?tag=57353
Greyhound,greyhound-black-silhouette.png,right,Creative Commons Attribution-Share Alike 4.0 License.,http://commons.wikimedia.org/wiki/File:Caravan_hound_Dolly1.jpg,http://www.supercoloring.com/silhouettes/greyhound-dog?tag=57353
Scottish Terrier,scottish-terrier-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://en.wikipedia.org/wiki/File:Scottish_Terrier_Sire.jpg,http://www.supercoloring.com/silhouettes/scottish-terrier?tag=57353
Rottweiler,rottweiler-black-silhouette.png,right,Creative Commons Attribution-Share Alike 4.0 License,http://en.wikipedia.org/wiki/File:Rottweiler.jpg,http://www.supercoloring.com/silhouettes/rottweiler?tag=57353
Newfoundland,newfoundland-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:Bearb_josh04_07.JPG,http://www.supercoloring.com/silhouettes/newfoundland?tag=57353
German Shepherd,german-shepherd-black-silhouette.png,right,Creative Commons Attribution-Share Alike 4.0 License,https://www.flickr.com/photos/ldelros60/4670288373,http://www.supercoloring.com/silhouettes/german-shepherd?tag=57353
French Bulldog,french-bulldog-black-silhouette.png,right,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:French_Bulldog_brindle_standing.jpg,http://www.supercoloring.com/silhouettes/french-bulldog?tag=57353
Boxer,boxer-black-silhouette.png,right,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:Boxer_proportions.jpg,http://www.supercoloring.com/silhouettes/boxer-dog?tag=57353
Great Dane,great-dane-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,https://commons.wikimedia.org/wiki/File:Great_dane_blue.JPG?uselang=ru,http://www.supercoloring.com/silhouettes/great-dane?tag=57353
Bulldog,bulldog-black-silhouette.png,left,Creative Commons Attribution-Share Alike 4.0 License,http://commons.wikimedia.org/wiki/File:Olde_English_Bulldogge_Crop.jpg,http://www.supercoloring.com/silhouettes/bulldog?tag=57353
